Given IP address: 130.56.0.0
Given Prefix: 16
Given No of subnets to be created: 1024
New prefix created is: 26.0

Subnet 1 Start : 130.56.0.0.
Subnet 1 End : 130.56.0.63.

Subnet 2 Start : 130.56.0.64.
Subnet 2 End : 130.56.0.127.

Subnet 3 Start : 130.56.0.128.
Subnet 3 End : 130.56.0.191.

Subnet 4 Start : 130.56.0.192.
Subnet 4 End : 130.56.0.255.

Subnet 5 Start : 130.56.1.0.
Subnet 5 End : 130.56.1.63.

Subnet 6 Start : 130.56.1.64.
Subnet 6 End : 130.56.1.127.

Subnet 7 Start : 130.56.1.128.
Subnet 7 End : 130.56.1.191.

Subnet 8 Start : 130.56.1.192.
Subnet 8 End : 130.56.1.255.

Subnet 9 Start : 130.56.2.0.
Subnet 9 End : 130.56.2.63.

Subnet 10 Start : 130.56.2.64.
Subnet 10 End : 130.56.2.127.

Subnet 11 Start : 130.56.2.128.
Subnet 11 End : 130.56.2.191.

Subnet 12 Start : 130.56.2.192.
Subnet 12 End : 130.56.2.255.

Subnet 13 Start : 130.56.3.0.
Subnet 13 End : 130.56.3.63.

Subnet 14 Start : 130.56.3.64.
Subnet 14 End : 130.56.3.127.

Subnet 15 Start : 130.56.3.128.
Subnet 15 End : 130.56.3.191.

Subnet 16 Start : 130.56.3.192.
Subnet 16 End : 130.56.3.255.

Subnet 17 Start : 130.56.4.0.
Subnet 17 End : 130.56.4.63.

Subnet 18 Start : 130.56.4.64.
Subnet 18 End : 130.56.4.127.

Subnet 19 Start : 130.56.4.128.
Subnet 19 End : 130.56.4.191.

Subnet 20 Start : 130.56.4.192.
Subnet 20 End : 130.56.4.255.

Subnet 21 Start : 130.56.5.0.
Subnet 21 End : 130.56.5.63.

Subnet 22 Start : 130.56.5.64.
Subnet 22 End : 130.56.5.127.

Subnet 23 Start : 130.56.5.128.
Subnet 23 End : 130.56.5.191.

Subnet 24 Start : 130.56.5.192.
Subnet 24 End : 130.56.5.255.

Subnet 25 Start : 130.56.6.0.
Subnet 25 End : 130.56.6.63.

Subnet 26 Start : 130.56.6.64.
Subnet 26 End : 130.56.6.127.

Subnet 27 Start : 130.56.6.128.
Subnet 27 End : 130.56.6.191.

Subnet 28 Start : 130.56.6.192.
Subnet 28 End : 130.56.6.255.

Subnet 29 Start : 130.56.7.0.
Subnet 29 End : 130.56.7.63.

Subnet 30 Start : 130.56.7.64.
Subnet 30 End : 130.56.7.127.

Subnet 31 Start : 130.56.7.128.
Subnet 31 End : 130.56.7.191.

Subnet 32 Start : 130.56.7.192.
Subnet 32 End : 130.56.7.255.

Subnet 33 Start : 130.56.8.0.
Subnet 33 End : 130.56.8.63.

Subnet 34 Start : 130.56.8.64.
Subnet 34 End : 130.56.8.127.

Subnet 35 Start : 130.56.8.128.
Subnet 35 End : 130.56.8.191.

Subnet 36 Start : 130.56.8.192.
Subnet 36 End : 130.56.8.255.

Subnet 37 Start : 130.56.9.0.
Subnet 37 End : 130.56.9.63.

Subnet 38 Start : 130.56.9.64.
Subnet 38 End : 130.56.9.127.

Subnet 39 Start : 130.56.9.128.
Subnet 39 End : 130.56.9.191.

Subnet 40 Start : 130.56.9.192.
Subnet 40 End : 130.56.9.255.

Subnet 41 Start : 130.56.10.0.
Subnet 41 End : 130.56.10.63.

Subnet 42 Start : 130.56.10.64.
Subnet 42 End : 130.56.10.127.

Subnet 43 Start : 130.56.10.128.
Subnet 43 End : 130.56.10.191.

Subnet 44 Start : 130.56.10.192.
Subnet 44 End : 130.56.10.255.

Subnet 45 Start : 130.56.11.0.
Subnet 45 End : 130.56.11.63.

Subnet 46 Start : 130.56.11.64.
Subnet 46 End : 130.56.11.127.

Subnet 47 Start : 130.56.11.128.
Subnet 47 End : 130.56.11.191.

Subnet 48 Start : 130.56.11.192.
Subnet 48 End : 130.56.11.255.

Subnet 49 Start : 130.56.12.0.
Subnet 49 End : 130.56.12.63.

Subnet 50 Start : 130.56.12.64.
Subnet 50 End : 130.56.12.127.

Subnet 51 Start : 130.56.12.128.
Subnet 51 End : 130.56.12.191.

Subnet 52 Start : 130.56.12.192.
Subnet 52 End : 130.56.12.255.

Subnet 53 Start : 130.56.13.0.
Subnet 53 End : 130.56.13.63.

Subnet 54 Start : 130.56.13.64.
Subnet 54 End : 130.56.13.127.

Subnet 55 Start : 130.56.13.128.
Subnet 55 End : 130.56.13.191.

Subnet 56 Start : 130.56.13.192.
Subnet 56 End : 130.56.13.255.

Subnet 57 Start : 130.56.14.0.
Subnet 57 End : 130.56.14.63.

Subnet 58 Start : 130.56.14.64.
Subnet 58 End : 130.56.14.127.

Subnet 59 Start : 130.56.14.128.
Subnet 59 End : 130.56.14.191.

Subnet 60 Start : 130.56.14.192.
Subnet 60 End : 130.56.14.255.

Subnet 61 Start : 130.56.15.0.
Subnet 61 End : 130.56.15.63.

Subnet 62 Start : 130.56.15.64.
Subnet 62 End : 130.56.15.127.

Subnet 63 Start : 130.56.15.128.
Subnet 63 End : 130.56.15.191.

Subnet 64 Start : 130.56.15.192.
Subnet 64 End : 130.56.15.255.

Subnet 65 Start : 130.56.16.0.
Subnet 65 End : 130.56.16.63.

Subnet 66 Start : 130.56.16.64.
Subnet 66 End : 130.56.16.127.

Subnet 67 Start : 130.56.16.128.
Subnet 67 End : 130.56.16.191.

Subnet 68 Start : 130.56.16.192.
Subnet 68 End : 130.56.16.255.

